entity_id,name,hq,n_assets,lei,cik
E100000001194,Duke Energy Corp,United States,158,I1BZKREC126H0VB1BL91,1326160
E100000000382,ENGIE SA,France,156,LAXUQCHT4FH58LRZDY46,
E100001014534,Snam SpA,Italy,156,8156002278562044AF79,
E100000001309,Southern Co,United States,115,549300FC3G3YU2FBZD92,92122
E100000000746,Shell PLC,United Kingdom,110,21380068P1DRHMJ8KU70,
E100000000414,Heidelberg Materials AG,Germany,108,LZ2C6E0W5W7LQMX5ZI37,
E100000000387,TotalEnergies SE,France,106,529900S21EQ1BO4ESM68,
E100000001155,Berkshire Hathaway Inc,United States,104,5493000C01ZX7D35SD85,1067983
E100001000571,Holcim Ltd,Switzerland,103,529900EHPFPYHV6IQO98,
E100000000610,Eni SpA,Italy,99,BUCRF72VH5RBN7X3VL35,
E100000001322,Vistra Corp,United States,92,549300KP43CPCUJOOG15,1692819
E100001000208,Constellation Energy Corp,United States,91,549300F8Y20RYGNGV346,1868275
E100000000433,RWE AG,Germany,76,529900GB7KCA94ACC940,
E100000001179,Chevron Corp,United States,73,,93410
E100000001213,Exxon Mobil Corp,United States,72,J3WHBG0MTS7O8ZVMDC91,34088
E100000001247,KKR & Co. Inc,United States,69,54930013V5I303TF9571,1404912
E100000000968,Endesa SA,Spain,68,549300LHK07F2CHV4X31,
E100001014294,Energy Transfer LP,United States,68,MTLVN9N7JE8MIBIJ1H73,1276187
E100001014505,Enagás SA,Spain,65,213800OU3FQKGM4M2U23,
E100000001262,NRG Energy Inc,United States,63,5E2UPK5SW04M13XY7I38,1013871
E100000001329,Xcel Energy Inc,United States,62,LGJNMI9GH8XIDG5RCM61,72903
E100000131458,CRH PLC,Ireland,61,549300MIDJNNTH068E74,
E100000001245,Kinder Morgan Inc,United States,61,549300WR7IX8XE0TBO16,1506307
E100000001140,American Electric Power Company Inc,United States,59,1B4S6S7G0TW5EE83BO58,4904
E100000001210,Evergy Inc,United States,56,549300PGTHDQY6PSUI61,1711269
E100002016384,Bridgepoint Group PLC,United Kingdom,54,213800KFNMVI8PDZX472,
E100001014282,Enterprise Products Partners LP,United States,54,K4CDIF4M54DJZ6TB4Q48,1061219
E100000001193,Dominion Energy Inc,United States,53,ILUL7B6Z54MRYCF6H308,715957
E100000001096,BP PLC,United Kingdom,53,213800LH1BZH3DI6G760,
E100000001267,NextEra Energy Inc,United States,52,254900RHL9MEUS5NKX63,753308
E100000000388,Veolia Environnement SA,France,51,969500LENY69X51OOT31,
E100000000457,Uniper SE,Germany,49,549300UXRTWGIBZQ4J67,
E100000001158,Blackstone Inc,United States,46,5299004LW4QWGZUB8Y96,1393818
E100002005243,Buzzi SpA,Italy,46,5299003DX5YLKSVJ6K59,
E100000000407,EnBW Energie Baden-Württemberg AG,Germany,46,529900JSFZ4TS59HKD79,
E100000001241,International Paper Co,United States,43,824LMFJDH41EY779Q875,51434
E100000004265,Union Electric Co,United States,42,QMPJLLDULY5C1M8PNY21,100826
E100000001305,AES Corp,United States,42,2NUNNB7D43COUIRE5295,874761
E100001014325,Plains All American Pipeline LP,United States,40,5521FA2ITF25TVH63740,1070423
E100001015278,ONEOK Inc,United States,39,2T3D6M0JSY48PSZI1Q41,1039684
E100002006770,UBS Fund Management (Switzerland) AG,Switzerland,37,5493003QNP1E68GGMZ05,
E100000001005,UBS Group AG,Switzerland,36,549300SZJ9VS8SGXAN81,
E100000001282,Phillips 66 ,United States,35,5493005JBO5YSIGK1814,1534701
E100000000608,Enel SpA,Italy,35,WOCMU6HCI0OJWNPRZS33,
E100000001283,Pinnacle West Capital Corp,United States,35,TWSEY0NEDUDCKS27AH81,764622
E100000001324,WEC Energy Group Inc,United States,34,549300IGLYTZUK3PVP70,783325
E100002004748,DTE Energy Co,United States,32,549300IX8SD6XXD71I78,936340
E100000000978,Naturgy Energy Group SA,Spain,31,TL2N6M87CW970S5SV098,
E100000001454,E.ON SE,Germany,30,Q9MAIUP40P25UFBFG033,
E100000001116,National Grid PLC,United Kingdom,28,8R95QZMKZLJX5Q2XR704,
E100001011247,ConocoPhillips Corp,United States,28,WPTL2Z3FIYTHSP5V2253,1163165
E100000001173,Carlyle Group Inc,United States,28,529900NGGVF94UK6PG95,1527166
E100000001223,General Electric Co,United States,27,3C7474T6CDKPR9K6YT90,40545
E100000001269,OGE Energy Corp,United States,27,CE5OG6JPOZMDSA0LAQ19,1021635
E100000002988,Entergy Louisiana LLC,United States,27,0V5453U14HDZO63CGH17,
E100000000766,Equinor ASA,Norway,27,OW6OFBNCKXC4US5C7523,
E100000000476,Public Power Corporation SA,Greece,27,213800T9Y5XCOVRZ4Y57,
E100000001278,PPL Corp,United States,26,9N3UAJSNOUXFKQLF3V18,922224
E100001000400,Glencore PLC,Switzerland,24,2138002658CPO9NBH955,
E100000000602,A2A SpA,Italy,24,81560076E3944316DB24,
E100001000649,Cleveland-Cliffs Inc,United States,23,549300TM2WLI2BJMDD86,764065
E100000131246,Alpha Metallurgical Resources Inc,United States,23,254900VEBGZO2PY8R678,1704715
E100000000975,Iberdrola SA,Spain,23,5QK37QC7NWOJ8D7WVQ45,
E100000001209,Entergy Corp,United States,22,4XM3TW50JULSLG8BNC79,65984
E100000000369,Stora Enso Oyj,Finland,22,7437000ZP669LKUTZ738,
E100000003523,Mainova AG,Germany,21,529900V3S3C2QZPTD593,
E100000001534,JPMorgan Chase & Co Corp,United States,21,8I5DZWZKVSZI1NUHU748,19617
E100000001135,Alliant Energy Corp,United States,21,5493009ML300G373MZ12,352541
E100000002899,Edison SpA,Italy,21,529900WS2E20BA5J4L49,
E100000000372,UPM-Kymmene Oyj,Finland,20,213800EC6PW5VU4J9U64,
E100000001123,SSE PLC,United Kingdom,20,549300KI75VYLLMSK856,
E100001014841,Williams Companies Inc,United States,20,D71FAKCBLFS2O0RBPG08,107263
E100001010181,Nucor Corp,United States,20,549300GGJCRSI2TIEJ46,73309
E100001011985,Hawaiian Electric Industries Inc,United States,19,JJ8FWOCWCV22X7GUPJ23,354707
E100001015054,MPLX LP,United States,19,5493000CZJ19CK4P3G36,1552000
E100002002419,Vicat SA,France,19,9695009YI1863TOVDP79,
E100000000428,Munich RE AG,Germany,19,529900MUF4C20K50JS49,
E100001000402,Peabody Energy Corp,United States,19,EJCO258LNNVSKAR2JX59,1064728
E100000001164,CMS Energy Corp,United States,19,549300IA9XFBAGNIBW29,811156
E100000000980,Repsol SA,Spain,18,BSYCX13Y0NOTV14V9N85,
E100000152192,Partners Group Holding AG,Switzerland,18,549300I3IVVWZWDHI788,
E100000001270,Occidental Petroleum Corp,United States,18,IM7X0T3ECJW4C1T7ON55,797468
E100000000030,Verbund AG,Austria,18,5299006UDSEJCTTEJS30,
E100000002328,Talen Energy Corp,United States,18,,1622536
E100001014304,Loews Corp,United States,17,R8V1FN4M5ITGZOG7BS19,60086
E100001000641,Archer-Daniels-Midland Co,United States,17,549300LO13MQ9HYSTR83,7084
E100000001293,Sempra ,United States,17,PBBKGKLRK5S5C0Y4T545,1032208
E100000000050,Solvay SA,Belgium,16,549300MMVL80RTBP3O28,
E100000001906,enercity AG,Germany,15,549300YTRYZPM57T3319,
E100002005704,Titan Cement International SA,Belgium,15,213800H2CDP9I374WH83,
E100000000394,Allianz SE,Germany,14,529900K9B0N5BT694847,
E100000001607,Ørsted A/S,Denmark,13,W9NG6WMZIYEU8VEDOG48,
E100000002718,Clearway Energy Inc,United States,13,549300LHAZ9HA9G3XC48,1567683
E100001010596,State Street Corp,United States,13,549300ZFEEJ2IP5VME73,93751
E100000132107,Ramaco Resources Inc,United States,12,5493001BYUI4TCQOPF70,1687187
E100000000426,MVV Energie AG,Germany,12,529900ISR2VNZV1C0T93,
E100000001384,Ares Management Corp,United States,12,529900JUV61FH7B8VW38,1176948
E100002001305,Associated British Foods PLC,United Kingdom,12,GBQKSY6W7G0OHCQ8OQ72,
E100000000375,Air Liquide SA,France,12,969500MMPQVHK671GT54,
E100001000638,Alliance Resource Partners LP,United States,12,529900T4Q5UPWOUFG783,1086600
E100002003558,Fomento de Construcciones y Contratas SA,Spain,12,95980020140005178328,
E100000004212,thyssenkrupp AG,Germany,11,549300UDG16DOYUPR330,
E100000001157,Black Hills Corp,United States,11,3MGELCRSTNSAMJ962671,1130464
E100000000834,EDP SA,Portugal,11,529900CLC3WDMGI9VH80,
E100001000653,Core Natural Resources Inc,United States,11,549300YJCTPJBTK7IJ81,1710366
E100000000027,OMV AG,Austria,11,549300V62YJ9HTLRI486,
E100000150310,NorthWestern Energy Group Inc,United States,11,254900N1WG46G1VMDM34,1993004
E100001010315,Salzgitter AG,Germany,11,529900E12Z6HXIMHFA15,
E100001015599,Sunoco LP,United States,11,54930001NJU8E40NQ561,1552275
E100000000395,BASF SE,Germany,11,529900PM64WH8AF1E917,
E100002004300,Brookfield Asset Management Ltd,United States,10,549300CZ84WPNJZKY093,1937926
E100000001114,Mondi PLC,United Kingdom,10,213800LOZA69QFDC9N34,
E100001000124,Ence Energía y Celulosa SA,Spain,10,95980020140005309084,
E100000001251,MGE Energy Inc,United States,10,,1161728
E100000001734,Westlake Corp,United States,10,GOXNEVUM0LL78B1OS344,1262823
E100001001070,Billerud AB,Sweden,9,549300YJUYJ9A24RXL71,
E100002005937,Cementos Molins SA,Spain,9,959800JRJW1CZ63R8P20,
E100000001254,Marathon Petroleum Corp,United States,9,3BNYRYQHD39K4LCKQF12,1510295
E100000001235,IDACORP Inc,United States,9,N134NUJDWN8UEFA8B673,1057877
E100000152934,Genesis Energy LP,United States,8,549300VJ5D6MDK138782,1022321
E100000001101,Centrica PLC,United Kingdom,8,E26EDV109X6EEPBKVH76,
E100001011575,Celanese Corp,United States,8,549300FHJQTDPPN41627,1306830
E100001014386,Targa Resources Corp,United States,8,5493003QENHHS261UR94,1389170
E100000130754,Commercial Metals Co,United States,8,549300OQS2LO07ZJ7N73,22444
E100001000488,Coronado Global Resources Inc,United States,8,549300IGUM6F25CYHK79,1770561
E100001012815,Harbour Energy PLC,United Kingdom,7,213800YPC42DYBKVPF97,
E100000001198,Edison International Corp,United States,7,549300I7ROF15MAEVP56,827052
E100000000360,Fortum Oyj,Finland,7,635400IUIZZIUJSAMF76,
E100000132450,Packaging Corporation of America ,United States,7,549300XZP8MFZFY8TJ84,75677
E100001000232,Mercer International Inc,United States,7,549300Z5IAG39VRTY874,1333274
E100000000459,Volkswagen AG,Germany,7,529900NNUPAGGOMPXZ31,
E100000001177,CenterPoint Energy Inc,United States,7,21TPXMRRHFKOBHDC8J74,1130310
E100000001651,SSAB AB,Sweden,7,529900329VS14ZIML164,
E100000001713,The Navigator Co,Portugal,7,549300UNIB7M2AXUXS35,
E100000000436,Siemens AG,Germany,7,W38RGI023J3WT1HWRP32,
E100000000473,HELLENiQ ENERGY Holdings SA,Greece,7,213800YUBJMZYR1SNG35,
E100000001132,Air Products and Chemicals Inc,United States,7,7QEON6Y1RL5XR3R1W237,2969
E100002005093,Cementir Holding NV,Netherlands,7,8156008B101B97A43B02,
E100002006131,Eagle Materials Inc,United States,7,529900KRXRGXL61SG039,918646
E100000002169,ALLETE Inc,United States,7,549300NNLSIMY6Z8OT86,66756
E100000001104,Drax Group PLC,United Kingdom,7,549300YPSNTXR4ZHSR98,
E100000002305,Portland General Electric Co,United States,7,GJOUP9M7C39GLSK9R870,784977
E100000000838,Semapa - Sociedade de Investimento e Gestão SGPS SA,Portugal,7,549300HNGOW85KIOH584,
E100001016064,Cheniere Energy Partners LP,United States,6,5493005UEC8AZ34LDV29,1383650
E100001000155,Evonik Industries AG,Germany,6,41GUOJQTALQHLF39XJ34,
E100002021926,City of Vienna ,Austria,6,529900LTE68PDZBBU805,
E100001015934,Redes Energéticas Nacionais SGPS SA,Portugal,6,549300FR1FN48IGHR915,
E100002002718,Vontobel Holding AG,Switzerland,6,529900G69W5VR3DDPW23,
