entity_id,name,hq,n_assets,lookthrough_assets,lei,permid,cik,has_lei,has_cik,has_permid,gleif_status,gleif_category
E100000001194,Duke Energy Corp,United States,158,146.00945999999988,I1BZKREC126H0VB1BL91,4295903896,1326160.0,True,True,True,ACTIVE,GENERAL
E100000000382,ENGIE SA,France,156,92.20924800000007,LAXUQCHT4FH58LRZDY46,4295866806,,True,False,True,ACTIVE,GENERAL
E100001014534,Snam SpA,Italy,156,134.5710012,8156002278562044AF79,4295875615,,True,False,True,ACTIVE,GENERAL
E100000001309,Southern Co,United States,115,110.06,549300FC3G3YU2FBZD92,4295903239,92122.0,True,True,True,ACTIVE,GENERAL
E100000000746,Shell PLC,United Kingdom,110,56.106500000000025,21380068P1DRHMJ8KU70,4295885039,,True,False,True,ACTIVE,GENERAL
E100000000414,Heidelberg Materials AG,Germany,108,99.21024428,LZ2C6E0W5W7LQMX5ZI37,4295868961,,True,False,True,ACTIVE,GENERAL
E100000000387,TotalEnergies SE,France,106,43.69349999999992,529900S21EQ1BO4ESM68,5001170594,,True,False,True,ACTIVE,GENERAL
E100000001155,Berkshire Hathaway Inc,United States,104,92.777,5493000C01ZX7D35SD85,4295908552,1067983.0,True,True,True,ACTIVE,GENERAL
E100001000571,Holcim Ltd,Switzerland,103,95.45299999999996,529900EHPFPYHV6IQO98,4295890620,,True,False,True,ACTIVE,GENERAL
E100000000610,Eni SpA,Italy,99,51.9006,BUCRF72VH5RBN7X3VL35,4295875633,,True,False,True,ACTIVE,GENERAL
E100000001322,Vistra Corp,United States,92,90.65,549300KP43CPCUJOOG15,5052137229,1692819.0,True,True,True,ACTIVE,GENERAL
E100001000208,Constellation Energy Corp,United States,91,87.83999999999999,549300F8Y20RYGNGV346,5081500884,1868275.0,True,True,True,ACTIVE,GENERAL
E100000000433,RWE AG,Germany,76,71.37700000000001,529900GB7KCA94ACC940,4295869049,,True,False,True,ACTIVE,GENERAL
E100000001213,Exxon Mobil Corp,United States,72,34.156,J3WHBG0MTS7O8ZVMDC91,4295912121,34088.0,True,True,True,ACTIVE,GENERAL
E100000001247,KKR & Co. Inc,United States,69,42.64342250000002,54930013V5I303TF9571,5083144032,1404912.0,True,True,True,ACTIVE,GENERAL
E100000000968,Endesa SA,Spain,68,67.0,549300LHK07F2CHV4X31,4295889287,,True,False,True,ACTIVE,GENERAL
E100001014294,Energy Transfer LP,United States,68,44.639,MTLVN9N7JE8MIBIJ1H73,4295914798,1276187.0,True,True,True,ACTIVE,GENERAL
E100001014505,Enagás SA,Spain,65,52.5171204,213800OU3FQKGM4M2U23,4295889502,,True,False,True,ACTIVE,GENERAL
E100000001262,NRG Energy Inc,United States,63,54.655,5E2UPK5SW04M13XY7I38,4295912211,1013871.0,True,True,True,ACTIVE,GENERAL
E100000001329,Xcel Energy Inc,United States,62,58.55,LGJNMI9GH8XIDG5RCM61,4295904627,72903.0,True,True,True,ACTIVE,GENERAL
E100000131458,CRH PLC,Ireland,61,52.80299999999998,549300MIDJNNTH068E74,4295874867,,True,False,True,ACTIVE,GENERAL
E100000001245,Kinder Morgan Inc,United States,61,37.496500000000005,549300WR7IX8XE0TBO16,4298464085,1506307.0,True,True,True,ACTIVE,GENERAL
E100000001140,American Electric Power Company Inc,United States,59,58.23,1B4S6S7G0TW5EE83BO58,4295903333,4904.0,True,True,True,ACTIVE,GENERAL
E100000001210,Evergy Inc,United States,56,54.22,549300PGTHDQY6PSUI61,5057833759,1711269.0,True,True,True,ACTIVE,GENERAL
E100002016384,Bridgepoint Group PLC,United Kingdom,54,16.5,213800KFNMVI8PDZX472,5067514871,,True,False,True,ACTIVE,GENERAL
E100001014282,Enterprise Products Partners LP,United States,54,44.765,K4CDIF4M54DJZ6TB4Q48,4295901413,1061219.0,True,True,True,ACTIVE,GENERAL
E100000001193,Dominion Energy Inc,United States,53,52.0,ILUL7B6Z54MRYCF6H308,5001437767,715957.0,True,True,True,ACTIVE,GENERAL
E100000001096,BP PLC,United Kingdom,53,25.5535,213800LH1BZH3DI6G760,4295894740,,True,False,True,ACTIVE,GENERAL
E100000001267,NextEra Energy Inc,United States,52,47.548,254900RHL9MEUS5NKX63,4295903955,753308.0,True,True,True,ACTIVE,GENERAL
E100000000388,Veolia Environnement SA,France,51,40.81867999999999,969500LENY69X51OOT31,4295867473,,True,False,True,ACTIVE,GENERAL
E100000000457,Uniper SE,Germany,49,45.775000000000006,549300UXRTWGIBZQ4J67,5051387035,,True,False,True,ACTIVE,GENERAL
E100000001158,Blackstone Inc,United States,46,25.62943562000001,5299004LW4QWGZUB8Y96,4295902706,1393818.0,True,True,True,ACTIVE,GENERAL
E100002005243,Buzzi SpA,Italy,46,41.918000000000006,5299003DX5YLKSVJ6K59,4295875751,,True,False,True,ACTIVE,GENERAL
E100000000407,EnBW Energie Baden-Württemberg AG,Germany,46,36.937064000000014,529900JSFZ4TS59HKD79,4295869310,,True,False,True,ACTIVE,GENERAL
E100000001241,International Paper Co,United States,43,42.0,824LMFJDH41EY779Q875,4295903177,51434.0,True,True,True,ACTIVE,GENERAL
E100000004265,Union Electric Co,United States,42,42.0,QMPJLLDULY5C1M8PNY21,4295900914,100826.0,True,True,True,ACTIVE,GENERAL
E100000001305,AES Corp,United States,42,32.767489999999995,2NUNNB7D43COUIRE5295,4295903289,874761.0,True,True,True,ACTIVE,GENERAL
E100001014325,Plains All American Pipeline LP,United States,40,25.382,5521FA2ITF25TVH63740,4295904749,1070423.0,True,True,True,ACTIVE,GENERAL
