from,to,months,imputation_flag_present,changed_edges_blind,build_pct_blind,restate_pct_blind,method_pct_blind,unattr_pct_blind,changed_edges,build_pct,restate_pct,method_pct,unattr_pct
2025-03,2025-05,2,False,940,87.3,11.6,0.9,0.2,940,87.3,11.6,0.9,0.2
2025-05,2025-07,2,False,6145,84.8,12.6,1.1,1.6,6145,84.8,12.6,1.1,1.6
2025-07,2025-08,1,False,473,67.4,28.1,1.9,2.5,473,67.4,28.1,1.9,2.5
2025-08,2025-09,1,False,1955,75.1,21.3,1.5,2.1,1955,75.1,21.3,1.5,2.1
2025-09,2025-10,1,False,379,47.5,46.7,1.8,4.0,379,47.5,46.7,1.8,4.0
2025-10,2025-11,1,False,452,56.4,39.2,0.7,3.8,452,56.4,39.2,0.7,3.8
2025-11,2025-12,1,True,4006,2.8,0.8,0.0,96.4,4006,3.0,0.8,96.2,0.0
2025-12,2026-01,1,True,330,50.3,43.3,6.4,0.0,330,50.3,37.3,12.4,0.0
2026-01,2026-02,1,True,52,36.5,63.5,0.0,0.0,52,36.5,63.5,0.0,0.0
2026-02,2026-03,1,True,4365,27.5,71.9,0.6,0.0,4365,27.5,71.1,1.4,0.0
2026-05,2026-07,2,True,856,59.5,39.7,0.8,0.0,856,59.5,38.8,1.8,0.0
2026-07,2026-08,1,True,510,77.5,21.2,1.4,0.0,510,77.5,21.0,1.6,0.0
