vintage,blank_rule,entity_id,name,hq_country,attributable_mw,units
March 2025,zero,E100000000217,Huaneng Power International,China,85263.07,253
March 2025,zero,E100000001926,NTPC,India,63260.82,161
March 2025,zero,E100000000890,Saudi Electricity,Saudi Arabia,61867.05,378
March 2025,zero,E100000000947,Korea Electric Power,South Korea,59625.78,131
March 2025,zero,E100000000175,China Shenhua Energy,China,51715.13,231
March 2025,zero,E100000000213,Huadian Power International,China,45622.54,150
March 2025,zero,E100000000181,Datang International Power Generation,China,44177.12,141
March 2025,zero,E100000000188,GD POWER Development,China,39348.6,172
March 2025,zero,E100000000174,China Resources Power Holdings,Hong Kong,36839.18,120
March 2025,zero,E100000000310,Zhejiang Zheneng Electric Power,China,34413.65,111
March 2025,zero,E100000001194,Duke Energy,United States,33366.41,155
March 2025,zero,E100000001309,Southern,United States,33018.87,108
March 2025,zero,E100000000659,Tokyo Electric Power,Japan,31386.56,159
March 2025,zero,E100000000630,Chubu Electric Power,Japan,31175.26,164
March 2025,zero,E100000001322,Vistra,United States,28281.0,83
March 2025,zero,E100000001267,NextEra Energy,United States,28180.85,47
March 2025,zero,E100000000192,Guangdong Electric Power Development,China,23822.62,76
March 2025,zero,E100000001209,Entergy,United States,22462.49,52
March 2025,zero,E100000000382,ENGIE,France,22096.68,126
March 2025,zero,E100000000157,Beijing Jingneng Power,China,21455.41,86
March 2025,zero,E100000001140,American Electric Power Company,United States,18339.77,58
March 2025,zero,E100000000641,J-POWER,Japan,17845.24,52
March 2025,zero,E100000002087,OGK-2,Russia,15872.0,56
March 2025,zero,E100000001366,An Hui Wenergy,China,15682.42,57
March 2025,zero,E100000000433,RWE,Germany,15172.0,67
March 2025,zero,E100000001262,NRG Energy,United States,15169.4,61
March 2025,zero,E100000001155,Berkshire Hathaway,United States,14428.71,52
March 2025,zero,E100000000457,Uniper,Germany,13617.27,47
March 2025,zero,E100001000558,Adani Power,India,13528.0,24
March 2025,zero,E100000001667,Shenzhen Energy Group,China,13479.44,42
March 2025,zero,E100000000646,Kansai Electric Power,Japan,13312.6,40
March 2025,zero,E100000000483,China Power International Development,Hong Kong,12952.22,52
March 2025,zero,E100000001193,Dominion Energy,United States,12540.1,47
March 2025,zero,E100000002081,Mosenergo,Russia,12229.0,78
March 2025,zero,E100000000706,Tenaga Nasional,Malaysia,12199.8,31
March 2025,zero,E100000001329,Xcel Energy,United States,12150.26,45
March 2025,zero,E100000000658,Tohoku Electric Power,Japan,12077.99,25
March 2025,zero,E100000000608,Enel,Italy,12044.0,39
March 2025,zero,E100000002158,Dubai Electricity and Water Authority,United Arab Emirates,11914.7,27
March 2025,zero,E100000000826,Polska Grupa Energetyczna,Poland,11776.4,59
March 2025,zero,E100000000255,Shanghai Electric Power,China,10688.2,49
March 2025,zero,E100000001305,AES,United States,10195.76,40
