name,hq,n_assets,cik
Chevron Corp,United States,73,0000093410
Talen Energy Corp,United States,18,0001622536
MGE Energy Inc,United States,10,0001161728
DT Midstream Inc,United States,5,0001842022
Nacco Industries Inc,United States,5,0000789933
Graphic Packaging Holding Co,United States,4,0001408075
Kinetik Holdings Inc,United States,4,0001692787
Otter Tail Corp,United States,4,0001466593
Western Midstream Partners LP,United States,3,0001423902
FTAI Infrastructure Inc,United States,1,0001899883
Summit Midstream Corp,United States,1,0002024218
NET Power Inc,United States,1,0001845437
Greenidge Generation Holdings Inc,United States,1,0001844971
