name,hq,n_assets,lookthrough_assets,lei,parent_lei,parent_name,parent_country,parent_in_cross_section
Snam SpA,Italy,156,134.5710012,8156002278562044AF79,81560029E2CE4D14F425,"""CASSA DEPOSITI E PRESTITI SOCIETA' PER AZIONI"" (DENOMINATA ANCHE : ""CDP S.P.A.)",IT,False
Endesa SA,Spain,68,67.0,549300LHK07F2CHV4X31,WOCMU6HCI0OJWNPRZS33,ENEL - SPA,IT,True
Buzzi SpA,Italy,46,41.918000000000006,5299003DX5YLKSVJ6K59,815600EBD07415837573,FIMEDI - S.P.A.,IT,False
Union Electric Co,United States,42,42.0,QMPJLLDULY5C1M8PNY21,XRZQ5S7HYJFPHJ78L959,AMEREN CORPORATION,US,False
Plains All American Pipeline LP,United States,40,25.382,5521FA2ITF25TVH63740,549300O56BSKRD8FAM12,"PLAINS GP HOLDINGS, L.P.",US,True
UBS Fund Management (Switzerland) AG,Switzerland,37,1.4850000000000008,5493003QNP1E68GGMZ05,549300SZJ9VS8SGXAN81,UBS Group AG,CH,True
Entergy Louisiana LLC,United States,27,25.64,0V5453U14HDZO63CGH17,4XM3TW50JULSLG8BNC79,ENTERGY CORPORATION,US,True
Mainova AG,Germany,21,7.879195530367999,529900V3S3C2QZPTD593,529900LUKDXAWQ85R269,Stadtwerke Frankfurt am Main Holding GmbH,DE,False
Edison SpA,Italy,21,19.25,529900WS2E20BA5J4L49,549300X3UK4GG3FNMO06,ELECTRICITE DE FRANCE,FR,False
Vicat SA,France,19,18.057,9695009YI1863TOVDP79,969500TYZHQWGQQ52389,PARFININCO (PARTICIPATION FINANCIERE INDUSTRIELLE ET COMMERCIALE),FR,False
enercity AG,Germany,15,3.419195530368,549300YTRYZPM57T3319,3912004WPBQBRIXH7D79,Versorgungs- und Verkehrsgesellschaft Hannover mit beschränkter Haftung,DE,False
Clearway Energy Inc,United States,13,11.0,549300LHAZ9HA9G3XC48,549300C841GHSUPKR373,CLEARWAY ENERGY GROUP LLC,US,False
Associated British Foods PLC,United Kingdom,12,11.6,GBQKSY6W7G0OHCQ8OQ72,213800DE48PQJ6VNN980,WITTINGTON INVESTMENTS LIMITED,GB,False
Fomento de Construcciones y Contratas SA,Spain,12,11.6701,95980020140005178328,959800M1H5YG8KUFPT85,CONTROL EMPRESARIAL DE CAPITALES SA DE CV,MX,False
Cementir Holding NV,Netherlands,7,5.384,8156008B101B97A43B02,81560056E2BF838E7067,FGC S.P.A,IT,False
Semapa - Sociedade de Investimento e Gestão SGPS SA,Portugal,7,6.498,549300HNGOW85KIOH584,549300BOZ4F9ON4KO574,"SODIM SGPS, S.A.",PT,False
The Navigator Co,Portugal,7,7.0,549300UNIB7M2AXUXS35,549300BOZ4F9ON4KO574,"SODIM SGPS, S.A.",PT,False
Cheniere Energy Partners LP,United States,6,6.0,5493005UEC8AZ34LDV29,MIHC87W9WTYSYZWV1J40,"CHENIERE ENERGY, INC.",US,True
Metsä Board Oyj,Finland,6,2.245,743700KKB8Q035K38488,743700J1G7SQN0HO1V56,Metsäliitto Osuuskunta,FI,False
Metlen Energy & Metals SA,Greece,5,4.65,213800KT8MEUJEJ2KW41,213800ZSR3HVKMMPVG86,METLEN ENERGY & METALS PLC,GB,False
Braunschweig Beteiligungen GmbH,Germany,5,1.255,529900LBFWIZP20KCC34,529900SLHQMAS4PR9F60,Stadt Braunschweig,DE,False
Ithaca Energy PLC,United Kingdom,4,0.628,21380057TNFLXPXBIP34,213800CYKA4XE2HZZB09,"קבוצת דלק בע""מ",IL,False
Pacific Gas and Electric Co,United States,4,4.0,1HNPXZSMMB7HMBMVBS46,8YQ2GSDWYZXO2EDN3511,PG&E CORPORATION,US,False
Fluxys Belgium NV/SA,Belgium,3,2.225,52990071WX2UW1WNHC16,529900UEWUHSPPJQ1R79,FLUXYS,BE,False
Lenzing AG,Austria,3,2.5090000000000003,529900BKFJBI0QRDJH63,529900Q2ZTXKBKDPR830,B & C Holding Österreich GmbH,AT,False
Gas Plus SpA,Italy,1,0.15,815600CF7B5169BBF109,815600302F4205F77177,US.FIN S.R.L.,IT,False
ERG SpA,Italy,1,1.0,8156004604684CA44A90,815600A8060F3C75B479,GARMON S.P.A.,IT,False
Maire SpA,Italy,1,0.3,815600D85A61200A1B83,8156003167A5BFF07045,GLV CAPITAL S.P.A.,IT,False
Danieli & C Officine Meccaniche SpA,Italy,1,0.999,815600B4B8C6A353E566,815600BA7210B2589136,SIND INTERNATIONAL S.R.L.,IT,False
Rottneros AB,Sweden,1,1.0,213800DM8OBVX8QWUR14,549300QW17E6QTAODB02,Nemus Holding AB,SE,False
CropEnergies AG,Germany,1,1.0,529900FXN57YQ7H5S098,529900S8QNB101D40S72,Südzucker AG,DE,False
Webuild SpA,Italy,1,0.5,549300UKR289DF4UXQ47,815600236E56BB460450,ATHENA PARTECIPAZIONI S.R.L.,IT,False
