hq,firms,assets,with_lei,with_cik,in_anna,with_isin,pct_isin
United States,157,2638,144,149,132,131,83.4
Germany,29,470,29,0,28,28,96.6
United Kingdom,28,352,28,0,27,25,89.3
France,17,369,17,0,16,16,94.1
Italy,15,403,15,0,15,15,100.0
Norway,12,50,12,0,12,12,100.0
Spain,12,244,12,0,12,12,100.0
Switzerland,9,233,9,0,9,8,88.9
Finland,8,67,8,0,6,0,0.0
Belgium,7,41,7,0,7,7,100.0
Portugal,7,38,7,0,7,7,100.0
Sweden,7,24,7,0,7,7,100.0
Austria,7,50,7,0,6,6,85.7
Greece,5,47,5,0,5,5,100.0
Netherlands,5,14,5,0,4,4,80.0
Ireland,2,62,2,0,2,0,0.0
Denmark,1,13,1,0,1,1,100.0
