LEI,ISIN,domestic,equity_like,lei,name,hq,n_assets,lookthrough_assets
0NURKC5Q3CJYZPPK5046,DE000WCH8881,True,True,0NURKC5Q3CJYZPPK5046,Wacker Chemie AG,Germany,2,2.0
0TMBS544NMO7GLCE7H90,GB00BF8Q6K64,True,True,0TMBS544NMO7GLCE7H90,abrdn PLC,United Kingdom,3,1.48
0V5453U14HDZO63CGH17,US29364W1080,True,True,0V5453U14HDZO63CGH17,Entergy Louisiana LLC,United States,27,25.64
0V5453U14HDZO63CGH17,US29364W2070,True,True,0V5453U14HDZO63CGH17,Entergy Louisiana LLC,United States,27,25.64
0V5453U14HDZO63CGH17,US29364W3060,True,True,0V5453U14HDZO63CGH17,Entergy Louisiana LLC,United States,27,25.64
0V5453U14HDZO63CGH17,US29364W4050,True,True,0V5453U14HDZO63CGH17,Entergy Louisiana LLC,United States,27,25.64
1B4S6S7G0TW5EE83BO58,US0255371017,True,True,1B4S6S7G0TW5EE83BO58,American Electric Power Company Inc,United States,59,58.230000000000004
1B4S6S7G0TW5EE83BO58,US02557T2087,True,True,1B4S6S7G0TW5EE83BO58,American Electric Power Company Inc,United States,59,58.230000000000004
1HNPXZSMMB7HMBMVBS46,US6943081074,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943082064,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943083054,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943084045,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943085034,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943086024,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943087014,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1HNPXZSMMB7HMBMVBS46,US6943088004,True,True,1HNPXZSMMB7HMBMVBS46,Pacific Gas and Electric Co,United States,4,4.0
1KF1J2NXQE2PI0QOB943,US86722A1034,True,True,1KF1J2NXQE2PI0QOB943,SunCoke Energy Inc,United States,2,2.0
2138001YYBULX5SZ2H24,GB00BP9LHF23,True,True,2138001YYBULX5SZ2H24,Schroders PLC,United Kingdom,3,2.25
2138002YCJORSFH5YR43,GB00BP41S218,True,True,2138002YCJORSFH5YR43,Savannah Energy PLC,United Kingdom,2,1.4
2138003319Y7NM75FG53,PTGA23JM0038,True,True,2138003319Y7NM75FG53,Galp Energia SGPS SA,Portugal,4,1.85
2138003319Y7NM75FG53,PTGA91JM0035,True,True,2138003319Y7NM75FG53,Galp Energia SGPS SA,Portugal,4,1.85
2138003319Y7NM75FG53,PTGA93JM0033,True,True,2138003319Y7NM75FG53,Galp Energia SGPS SA,Portugal,4,1.85
