lei,name,hq,n_assets
2138004PVNAV1E9SZP35,Antin Infrastructure Partners SAS,France,2
213800EC6PW5VU4J9U64,UPM-Kymmene Oyj,Finland,20
213800RRWN6ZBPW2ZV03,Bisichi PLC,United Kingdom,1
2549009G116AM01XHN24,HF Sinclair Corp,United States,4
254900J6DPU4HB368I65,Excelerate Energy Inc,United States,1
254900N1WG46G1VMDM34,NorthWestern Energy Group Inc,United States,11
254900VEBGZO2PY8R678,Alpha Metallurgical Resources Inc,United States,23
529900ATA8EX6J0VUZ84,OPAL Fuels Inc,United States,1
529900LBFWIZP20KCC34,Braunschweig Beteiligungen GmbH,Germany,5
529900LTE68PDZBBU805,City of Vienna ,Austria,6
529900NGGVF94UK6PG95,Carlyle Group Inc,United States,28
54930013V5I303TF9571,KKR & Co. Inc,United States,69
5493001AOYU1ZOWOC971,Sylvamo Corp,United States,2
5493001K8NJSB0VWJ635,Starwood Real Estate Income Trust Inc,United States,1
549300IGUM6F25CYHK79,Coronado Global Resources Inc,United States,8
549300LHAZ9HA9G3XC48,Clearway Energy Inc,United States,13
549300RH0NLJNZ5SXU64,Equitrans Midstream Corp,United States,2
743700G7A9J1PHM3X223,Wärtsilä Oyj,Finland,1
8156008B101B97A43B02,Cementir Holding NV,Netherlands,7
