subject,party,party_name,bucket,residual
E100000003462,E100002015961,VDK-Energo,build-out,False
E100000134522,E100002005724,Pharaon Investment Group Limited Holding,build-out,False
E100000120972,E100001000179,Custody Bank of Japan,build-out,False
E100000003528,E100000001322,Vistra,build-out,False
E100002017443,E100001000605,Metinvest,build-out,False
E100000131907,E100002017444,Mercuria Energy Group,build-out,False
E100001015708,E100002022359,Pinnacle Investment Management Group,build-out,False
E100000001091,E100002020933,Aberdeen Corporate Services,build-out,False
E100001000411,E100001010643,Government of Malaysia,build-out,False
E100001010226,E100000123261,natural person(s),build-out,True
E100000001262,E100001010596,State Street,build-out,False
E100002004494,E100001014282,Enterprise Products Partners,build-out,False
E100001015326,E100000001213,Exxon Mobil,build-out,False
E100001014210,E100000000019,Origin Energy,build-out,False
E100002015457,E100001015587,small shareholder(s),build-out,True
E100000003789,E100000003357,Jam Energy Development,build-out,False
E100002015968,E100000129153,Zhejiang HENGYI Group,build-out,False
E100002009640,E100000123261,natural person(s),build-out,True
E100002010773,E100000123261,natural person(s),build-out,True
E100002006803,E100002005572,Sagar Cements,build-out,False
E100000001114,E100002017536,Coronation Fund Managers,build-out,False
E100002006289,E100002006053,Votorantim Cimentos International,build-out,False
E100001014615,E100001014807,Gasdotti Italia,build-out,False
E100001015799,E100000001079,Abu Dhabi National Oil,build-out,False
E100000190325,E100000123261,natural person(s),build-out,True
E100000120102,E100002024477,Arvind Farms,build-out,False
E100002006355,E100002006358,Calicom Industries,build-out,False
E100001015908,E100001015906,Corporación Financiera Colombiana,build-out,False
E100002010810,E100002010815,PT Borneo Berkat Sentosa,build-out,False
E100002015196,E100000001044,National Enterprises,build-out,False
E100002006280,E100001015587,small shareholder(s),build-out,True
E100002015538,E100002015540,Corporación Real Marzul,build-out,False
E100002004816,E100000000651,Mitsui &,build-out,False
E100001001411,E100002017015,SCANA,build-out,False
E100002024959,E100002024961,Ironclad Energy Management,build-out,False
E100002020379,E100001015821,Tallgrass Energy Partners,build-out,False
E100002019404,E100002019407,O.G. Oil & Gas (Singapore),build-out,False
E100000190256,E100000123261,natural person(s),build-out,True
E100001014831,E100002004766,Venture Global Plaquemines LNG,build-out,False
E100001015374,E100001014618,Ministry of Energy (Republic of Lithuania),build-out,False
E100002006546,E100002006550,Shwe Taung Group,build-out,False
E100002016954,E100000123261,natural person(s),build-out,True
E100000132384,E100002017572,Graftonex Investments,build-out,False
E100001015933,E100001015935,Canada Development Investment,build-out,False
E100002006605,E100000123261,natural person(s),build-out,True
E100000000863,E100001011056,Centrenergoholding,build-out,False
E100002003764,E100000123261,natural person(s),build-out,True
E100000004343,E100002015649,St. Modwen Developments,build-out,False
E100000120035,E100001000179,Custody Bank of Japan,build-out,False
E100001015845,E100000001384,Ares Management,build-out,False
E100002017679,E100002017689,Encyclis Holdco,build-out,False
E100002017721,E100000000700,Melewar Industrial Group,build-out,False
E100000190223,E100000123261,natural person(s),build-out,True
E100001014634,E100002022333,Saudi Investment Recycling,build-out,False
E100002015454,E100002016746,City of Espinho,build-out,False
E100001014280,E100002022138,TIGAS-Wärme Tirol,build-out,False
E100000002777,E100002024389,Dartmouth Power Holding Company,build-out,False
E100000121841,E100000122821,Shandong SUN Paper,build-out,False
E100002020384,E100002020385,Enstor Gas,build-out,False
E100000125331,E100000158306,China Three Gorges,build-out,False
E100002011958,E100002016344,Andina Turbomecánica,build-out,False
E100002023196,E100002024112,United WA State Party,build-out,False
E100002017223,E100002017224,Bain Capital,build-out,False
E100000133586,E100002016700,Voltalia Investissement,build-out,False
E100000000700,E100001015587,small shareholder(s),build-out,True
E100002016553,E100000123261,natural person(s),build-out,True
E100002004937,E100000123261,natural person(s),build-out,True
E100002015779,E100000123261,natural person(s),build-out,True
E100001015159,E100002022094,Keihai,build-out,False
E100001014343,E100000002574,Compañía Española de Petróleos,build-out,False
E100001000661,E100000000834,EDP,build-out,False
E100000001265,E100002022243,Energy Transition Holdings,build-out,False
E100002004329,E100000000424,Linde,build-out,False
E100001000670,E100000123261,natural person(s),build-out,True
E100000128136,E100000121880,Cpi Guizhou Jinyuan Group,build-out,False
E100001014581,E100000001321,Valero Energy,build-out,False
E100000003828,E100001000322,Saudi Aramco Power,build-out,False
E100002004376,E100002017805,National Petroleum Services Company,build-out,False
E100000120192,E100002019170,CCCC Industrial Investment Holding,build-out,False
E100002006169,E100000123261,natural person(s),build-out,True
E100002006822,E100000123261,natural person(s),build-out,True
E100000000730,E100001000258,Government of Myanmar,build-out,False
E100001000730,E100002025041,Ministry of Health and Welfare,build-out,False
E100000004038,E100001015587,small shareholder(s),build-out,True
E100002016190,E100000123261,natural person(s),build-out,True
E100000120102,E100001015587,small shareholder(s),build-out,True
E100000003587,E100001015587,small shareholder(s),build-out,True
E100000000806,E100002008182,PCD Nominee (Filipino),build-out,False
E100001010156,E100001011136,Government of Japan,build-out,False
E100002023939,E100002023943,Hebei Pingle Flour Machinery Group,build-out,False
E100000190319,E100000123261,natural person(s),build-out,True
E100000000554,E100001015587,small shareholder(s),build-out,True
E100002017280,E100000123261,natural person(s),build-out,True
E100002015744,E100000123261,natural person(s),build-out,True
E100002004816,E100001014354,CNOOC,build-out,False
E100001014841,E100001000348,BlackRock,build-out,False
E100002006312,E100001015587,small shareholder(s),build-out,True
E100002005712,E100001015587,small shareholder(s),build-out,True
E100000125325,E100001000328,HKSCC Nominees,build-out,False
E100000120182,E100002009441,Southern Point Resource Partners,build-out,False
E100002015475,E100002015479,Normex,build-out,False
E100002006238,E100001000282,Government of Syria,build-out,False
E100002006753,E100000120173,PT Bosowa Corporindo,build-out,False
