entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000000013,0.0,2048.6,0.0,March 2025,zero,YPF,2048.6,2048.6,1.0,0.0
E100000000014,4880.0,930.0,0.0,March 2025,zero,AGL Energy,5810.0,5810.0,1.0,0.8399311531841652
E100000000015,0.0,707.4,0.0,March 2025,zero,BHP Group,707.4,707.4,1.0,0.0
E100000000018,0.0,2081.23,0.0,March 2025,zero,Macquarie Group,2081.23,2081.23,1.0,0.0
E100000000019,2880.0,2533.0,0.0,March 2025,zero,Origin Energy,5413.0,5413.0,1.0,0.5320524662848698
E100000000021,387.1,535.0,0.0,March 2025,zero,EVN,922.1,922.1,1.0,0.41980262444420346
E100000000027,0.0,994.12,0.0,March 2025,zero,OMV,994.12,994.12,1.0,0.0
E100000000030,0.0,1106.2,0.0,March 2025,zero,Verbund,1106.2,1106.2,1.0,0.0
E100000000031,0.0,153.0,0.0,March 2025,zero,Voestalpine,153.0,153.0,1.0,0.0
E100000000049,0.0,0.0,0.0,March 2025,zero,Prudential Financial,0.0,0.0,,
E100000000050,127.72,507.24,0.0,March 2025,zero,Solvay,634.96,634.96,1.0,0.20114652891520723
E100000000053,0.0,676.76,59.61,March 2025,zero,CK Infrastructure Holdings,676.76,736.37,0.9190488477260073,0.0
E100000000067,725.0,4530.7,0.0,March 2025,zero,Eneva,5255.7,5255.7,1.0,0.13794546872918925
E100000000084,0.0,4253.66,0.0,March 2025,zero,Petróleo Brasileiro,4253.66,4253.66,1.0,0.0
E100000000101,0.0,176.0,0.0,March 2025,zero,ATCO,176.0,176.0,1.0,0.0
E100000000102,0.0,905.0,0.0,March 2025,zero,AltaGas,905.0,905.0,1.0,0.0
E100000000103,148.83,207.32,0.0,March 2025,zero,Barrick Gold,356.15,356.15,1.0,0.41788572230801635
E100000000104,0.0,140.88,0.0,March 2025,zero,Brookfield,140.88,140.88,1.0,0.0
E100000000105,0.0,153.0,0.0,March 2025,zero,Canadian Natural Resources,153.0,153.0,1.0,0.0
E100000000107,0.0,6465.0,0.0,March 2025,zero,Capital Power,6465.0,6465.0,1.0,0.0
E100000000111,1743.8,5497.69,90.0,March 2025,zero,Emera,7241.49,7331.49,0.9877241870342863,0.24080679528660537
E100000000112,0.0,60.0,0.0,March 2025,zero,Enbridge,60.0,60.0,1.0,0.0
E100000000114,964.13,1105.55,0.0,March 2025,zero,Fortis,2069.68,2069.68,1.0,0.4658352982103514
E100000000121,0.0,450.0,0.0,March 2025,zero,Maxim Power,450.0,450.0,1.0,0.0
E100000000127,0.0,102.6,0.0,March 2025,zero,Pembina Pipeline,102.6,102.6,1.0,0.0
E100000000134,0.0,65.0,0.0,March 2025,zero,Stelco Holdings,65.0,65.0,1.0,0.0
E100000000135,0.0,425.0,0.0,March 2025,zero,Suncor Energy,425.0,425.0,1.0,0.0
E100000000136,0.0,815.0,32.0,March 2025,zero,TC Energy,815.0,847.0,0.9622195985832349,0.0
E100000000148,0.0,220.3,0.0,March 2025,zero,Energía Latina,220.3,220.3,1.0,0.0
E100000000151,631.08,125.15,12.63,March 2025,zero,Agricultural Bank of China,756.23,768.86,0.9835730822256328,0.8345080200468112
E100000000156,0.0,4526.88,0.0,March 2025,zero,Beijing Jingneng Clean Energy,4526.88,4526.88,1.0,0.0
E100000000157,20801.93,653.48,0.0,March 2025,zero,Beijing Jingneng Power,21455.41,21455.41,1.0,0.9695424137781566
E100000000173,2444.66,96.51,0.0,March 2025,zero,China Petrochemical,2541.17,2541.17,1.0,0.9620214310730884
E100000000174,36534.68,304.5,9.92,March 2025,zero,China Resources Power Holdings,36839.18,36849.1,0.999730793967831,0.9917343437068903
E100000000175,49679.07,2036.06,0.0,March 2025,zero,China Shenhua Energy,51715.13,51715.13,1.0,0.9606293167976181
E100000000180,0.0,94.0,0.0,March 2025,zero,Chongqing Gas Group,94.0,94.0,1.0,0.0
E100000000181,38631.32,5545.81,0.0,March 2025,zero,Datang International Power Generation,44177.13,44177.13,1.0,0.8744642307003647
E100000000185,1183.0,201.0,184.0,March 2025,zero,China Energy Engineering,1384.0,1568.0,0.8826530612244898,0.8547687861271677
E100000000186,4113.67,1170.0,0.0,March 2025,zero,Fujian Funeng,5283.67,5283.67,1.0,0.7785630063951761
E100000000188,39030.86,317.74,0.0,March 2025,zero,GD POWER Development,39348.6,39348.6,1.0,0.9919249986022375
E100000000192,14973.47,8849.15,51.0,March 2025,zero,Guangdong Electric Power Development,23822.62,23873.62,0.997863750868113,0.6285400178485826
E100000000195,1462.0,0.0,0.0,March 2025,zero,Guangxi Guiguan Electric Power,1462.0,1462.0,1.0,1.0
E100000000197,1080.0,920.0,0.0,March 2025,zero,Guangzhou Hengyun Enterprises Holdings,2000.0,2000.0,1.0,0.54
E100000000213,37886.38,7736.16,9.31,March 2025,zero,Huadian Power International,45622.53999999999,45631.84999999999,0.9997959758370525,0.8304311859883295
