sector,asset_id,old_top_parent,new_top_parent,immediate_owner_also_changed
Coal Plant,G100000103985,E100000002128|E100001000277,E100000002128|E100001000277|E100001015587,False
Coal Plant,G100000114211,E100000000491,E100000000491|E100000002824|E100000124156,False
Coal Plant,G100000109787,E100000002169|E100001015587|E100001015832|E100001015833,E100000001226|E100000002169|E100001000089|E100001000348|E100001010595|E100001014359|E100001015587|E100001015833|E100002015950,False
Coal Plant,G100000110205,E100000001222,E100000123261|E100002003623|E100002003624|E100002003625,False
Coal Plant,G100000108780,E100000001277|E100000002207|E100000002267|E100000004244|E100000132388|E100001001236,E100000001277|E100000002207|E100000002267|E100000004244|E100000132388|E100001001236|E100002001974,False
Coal Plant,G100000100783,E100000123261|E100001000558|E100001015587|E100001016340|E100001016341|E100001016342,E100000123261|E100001000558|E100001015587|E100001016340|E100001016341|E100001016342|E100002022376,False
Coal Plant,G100000103692,E100000001155|E100000001291|E100000001329|E100001000348|E100001010222|E100001010595|E100001010596|E100001015587|E100001015644|E100001015833,E100000001155|E100000001291|E100000001329|E100001000348|E100001010222|E100001010595|E100001010596|E100001015587|E100001015833,False
Coal Plant,G100000107710,E100000001135|E100000001155,E100000001135|E100000001155|E100001000348|E100001010595|E100001010596|E100001015587|E100001015833,False
Coal Plant,G100000100984,E100001000736|E100001001048|E100001010635|E100001010637|E100001010783|E100001015587|E100001016749,E100001000397|E100001000520|E100001000736|E100001010635|E100001010637|E100001010783|E100001011055|E100001015587|E100001016749|E100002021877,False
Coal Plant,G100000105613,E100000000868|E100000121185|E100001000094|E100001000270|E100001000979|E100001015297|E100001015298,E100000000868|E100000121185|E100001000094|E100001000270|E100001015297|E100001015298|E100001015587,False
Coal Plant,G100000101953,E100000000947|E100000000962|E100002004569,E100000000947|E100000000962|E100001015587|E100002004569,False
Coal Plant,G100000111515,E100000000868|E100000121185|E100001000094|E100001000270|E100001015297|E100001015298,E100000000868|E100000121185|E100001000094|E100001000270|E100001015297|E100001015298|E100001015587,True
Coal Plant,G100000114681,E100000000658|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000658|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Coal Plant,G100000102966,E100000000826|E100000001612|E100001001041,E100000000826|E100000001612|E100001001041|E100001015587,False
Coal Plant,G100000105334,E100000001940|E100000121405|E100000123261|E100001000397|E100001000520|E100001015587|E100001016173|E100001016174|E100001016175|E100001016176,E100000000528|E100000001940|E100000121405|E100000123261|E100001015587|E100001016173|E100001016174|E100001016175|E100001016176,False
Coal Plant,G100000110853,E100000000433|E100000000839|E100000000845|E100000123261|E100001000330|E100001000348|E100001010595|E100001015587|E100001015833,E100000000433|E100000000839|E100000000845|E100001000330|E100001000348|E100001010595|E100001015587|E100001015833,False
Coal Plant,G100000103074,E100000000512|E100000123261|E100001015587|E100001016408,E100000000512|E100001015587|E100001016408,False
Coal Plant,G100000111274,E100000000481,E100000000481|E100001015587|E100002022215|E100002022216,False
Coal Plant,G100000114680,E100000000648|E100000123261|E100000133542|E100000134222|E100001000178|E100001000179|E100001000382|E100001011617|E100001015587|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498,E100000000648|E100000123261|E100000133542|E100000134222|E100000136108|E100001000178|E100001000179|E100001000348|E100001000382|E100001010595|E100001010596|E100001011617|E100001015587|E100001015833|E100001016125|E100001016126|E100001016255|E100001016256|E100001016257|E100001016492|E100001016498|E100002001974|E100002011285|E100002022203,False
Coal Plant,G100000110177,E100000000021|E100000000026|E100000000030|E100000000032|E100001011522|E100001014929|E100001014930|E100001014931|E100001015587|E100001016294|E100001016295|E100001016296|E100001016297|E100001016298|E100001016299|E100001016301|E100002007863,E100000000021|E100000000026|E100000000030|E100000000032|E100001000348|E100001000901|E100001010595|E100001010707|E100001011522|E100001014929|E100001014930|E100001015587|E100001015833|E100001016294|E100001016295|E100001016296|E100001016297|E100001016298|E100001016299|E100001016301|E100002001974|E100002007863|E100002017159|E100002021926|E100002021929|E100002022085|E100002022141|E100002022296|E100002022985,False
