entity_id,status
E100000000017,in old vintage only
E100000000036,in old vintage only
E100000000049,in old vintage only
E100000000064,in old vintage only
E100000000075,in old vintage only
E100000000081,in old vintage only
E100000000082,in old vintage only
E100000000083,in old vintage only
E100000000089,in old vintage only
E100000000090,in old vintage only
E100000000092,in old vintage only
E100000000097,in old vintage only
E100000000108,in old vintage only
E100000000110,in old vintage only
E100000000115,in old vintage only
E100000000120,in old vintage only
E100000000123,in old vintage only
E100000000131,in old vintage only
E100000000134,in old vintage only
E100000000138,in old vintage only
E100000000323,in old vintage only
E100000000325,in old vintage only
E100000000326,in old vintage only
E100000000331,in old vintage only
E100000000359,in old vintage only
E100000000374,in old vintage only
E100000000398,in old vintage only
E100000000399,in old vintage only
E100000000410,in old vintage only
E100000000425,in old vintage only
E100000000442,in old vintage only
E100000000445,in old vintage only
E100000000452,in old vintage only
E100000000461,in old vintage only
E100000000466,in old vintage only
E100000000468,in old vintage only
E100000000484,in old vintage only
E100000000507,in old vintage only
E100000000532,in old vintage only
E100000000534,in old vintage only
E100000000539,in old vintage only
E100000000541,in old vintage only
E100000000550,in old vintage only
E100000000559,in old vintage only
E100000000562,in old vintage only
E100000000572,in old vintage only
E100000000574,in old vintage only
E100000000582,in old vintage only
E100000000588,in old vintage only
E100000000597,in old vintage only
E100000000637,in old vintage only
E100000000644,in old vintage only
E100000000653,in old vintage only
E100000000661,in old vintage only
E100000000663,in old vintage only
E100000000678,in old vintage only
E100000000681,in old vintage only
E100000000725,in old vintage only
E100000000728,in old vintage only
E100000000731,in old vintage only
E100000000732,in old vintage only
E100000000733,in old vintage only
E100000000745,in old vintage only
E100000000752,in old vintage only
E100000000753,in old vintage only
E100000000760,in old vintage only
E100000000765,in old vintage only
E100000000767,in old vintage only
E100000000795,in old vintage only
E100000000807,in old vintage only
E100000000861,in old vintage only
E100000000904,in old vintage only
E100000000913,in old vintage only
E100000000925,in old vintage only
E100000000959,in old vintage only
E100000000965,in old vintage only
E100000000970,in old vintage only
E100000000971,in old vintage only
E100000000973,in old vintage only
E100000000985,in old vintage only
E100000000992,in old vintage only
E100000000996,in old vintage only
E100000000997,in old vintage only
E100000001007,in old vintage only
E100000001011,in old vintage only
E100000001022,in old vintage only
E100000001025,in old vintage only
E100000001037,in old vintage only
E100000001048,in old vintage only
E100000001050,in old vintage only
E100000001053,in old vintage only
E100000001064,in old vintage only
E100000001065,in old vintage only
E100000001067,in old vintage only
E100000001074,in old vintage only
E100000001108,in old vintage only
E100000001109,in old vintage only
E100000001115,in old vintage only
E100000001118,in old vintage only
E100000001125,in old vintage only
E100000001138,in old vintage only
E100000001142,in old vintage only
E100000001146,in old vintage only
E100000001156,in old vintage only
E100000001162,in old vintage only
E100000001176,in old vintage only
E100000001182,in old vintage only
E100000001187,in old vintage only
E100000001200,in old vintage only
E100000001206,in old vintage only
E100000001219,in old vintage only
E100000001227,in old vintage only
E100000001228,in old vintage only
E100000001232,in old vintage only
E100000001236,in old vintage only
E100000001244,in old vintage only
E100000001252,in old vintage only
E100000001255,in old vintage only
E100000001259,in old vintage only
E100000001261,in old vintage only
E100000001264,in old vintage only
E100000001281,in old vintage only
E100000001285,in old vintage only
E100000001300,in old vintage only
E100000001301,in old vintage only
E100000001310,in old vintage only
E100000001318,in old vintage only
